state,district,hospitals_,dispensaries,community_health_centre_rh,primary_health_centres,total_in_number_,beds_available
state,district,NA,0,0,0,0,0
state,district,NA,0,0,0,0,0
Himachal Pradesh,Bilaspur,NA,5,1,6,38,50
Himachal Pradesh,Chamba,NA,8,0,4,46,58
Himachal Pradesh,Hamirpur,NA,6,0,2,32,40
Himachal Pradesh,Kangra,NA,20,1,19,88,128
Himachal Pradesh,Kinnaur,NA,2,0,4,23,29
Himachal Pradesh,Kullu,NA,6,0,4,24,34
Himachal Pradesh,Lahaul-spiti,NA,1,0,3,16,20
Himachal Pradesh,Mandi,NA,17,0,11,85,113
Himachal Pradesh,Shimla,NA,15,2,17,115,149
Himachal Pradesh,Sirmaur,NA,6,3,6,46,61
Himachal Pradesh,Solan,NA,7,7,6,39,59
Himachal Pradesh,Una,NA,6,2,9,24,41
Himachal Pradesh,Total,NA,99,16,91,576,782
